Country,hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,iso_code,market_segment,distribution_channel,previous_cancellations,customer_type,adr
Ireland,"Resort Hotel",1,2017,April,6,0,3,2,0,0,IRL,"Online TA",TA/TO,0,Transient,60
Ireland,"Resort Hotel",1,2017,April,6,0,3,2,0,0,IRL,"Online TA",TA/TO,0,Transient,60
"United Kingdom","Resort Hotel",1,2017,April,6,0,3,2,0,0,GBR,Direct,Direct,0,Transient,162
Ireland,"Resort Hotel",1,2017,April,6,0,3,2,0,0,IRL,"Online TA",TA/TO,0,Transient,60
Ireland,"Resort Hotel",1,2017,April,6,0,3,2,0,0,IRL,"Online TA",TA/TO,0,Transient,60
Portugal,"Resort Hotel",1,2017,April,6,0,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,115
Ireland,"Resort Hotel",1,2017,April,6,0,3,2,0,0,IRL,"Online TA",TA/TO,0,Transient,60
Ireland,"Resort Hotel",1,2017,April,6,0,3,2,0,0,IRL,"Online TA",TA/TO,0,Transient,60
Ireland,"Resort Hotel",1,2017,April,6,0,3,2,0,0,IRL,"Online TA",TA/TO,0,Transient,60
"United Kingdom","Resort Hotel",1,2017,April,6,1,3,1,0,0,GBR,"Online TA",TA/TO,0,Transient,52
"United Kingdom","Resort Hotel",1,2017,April,6,1,3,1,0,0,GBR,"Online TA",TA/TO,0,Transient,52
Venezuela,"Resort Hotel",1,2017,April,6,2,3,3,1,0,VEN,"Online TA",TA/TO,0,Transient,165
Spain,"Resort Hotel",1,2017,April,6,2,5,2,0,0,ESP,Direct,Direct,0,Transient,207
Portugal,"Resort Hotel",1,2017,April,7,0,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,115
Portugal,"Resort Hotel",1,2017,April,7,0,2,1,0,0,PRT,Direct,Direct,0,Transient,110
Portugal,"Resort Hotel",1,2017,April,7,1,2,1,0,0,PRT,"Online TA",TA/TO,0,Transient,103
France,"Resort Hotel",1,2017,April,7,2,5,2,0,0,FRA,"Online TA",TA/TO,0,Transient,138
"United Kingdom","Resort Hotel",1,2017,April,7,2,5,2,2,0,GBR,"Online TA",TA/TO,0,Transient,159
France,"Resort Hotel",1,2017,April,7,2,5,2,1,0,FRA,Direct,Direct,0,Transient,188
France,"Resort Hotel",1,2017,April,7,2,5,2,0,0,FRA,"Online TA",TA/TO,0,Transient,138
"United Kingdom","Resort Hotel",1,2017,April,7,2,4,2,2,0,GBR,"Online TA",TA/TO,0,Transient,193
France,"Resort Hotel",1,2017,April,7,2,4,2,0,0,FRA,"Online TA",TA/TO,0,Transient,96
Portugal,"Resort Hotel",1,2017,April,8,0,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,147
Portugal,"Resort Hotel",1,2017,April,8,0,1,3,0,0,PRT,"Online TA",TA/TO,0,Transient,138
Portugal,"Resort Hotel",1,2017,April,8,0,1,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,60
Spain,"Resort Hotel",1,2017,April,8,2,1,3,1,0,ESP,"Online TA",TA/TO,0,Transient,150
Brazil,"Resort Hotel",1,2017,April,8,2,1,3,1,0,BRA,"Online TA",TA/TO,0,Transient,150
Spain,"Resort Hotel",1,2017,April,8,2,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,137
Spain,"Resort Hotel",1,2017,April,8,2,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,137
"United Kingdom","Resort Hotel",1,2017,April,8,2,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,105
Spain,"Resort Hotel",1,2017,April,8,2,3,2,2,0,ESP,"Online TA",TA/TO,0,Transient,155
Portugal,"Resort Hotel",1,2017,April,8,2,3,3,1,0,PRT,"Online TA",TA/TO,0,Transient,150
Germany,"Resort Hotel",1,2017,April,8,2,4,2,0,0,DEU,"Online TA",TA/TO,0,Transient,110
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,48
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,82
Hungary,"Resort Hotel",1,2017,April,8,2,5,2,2,0,HUN,"Online TA",TA/TO,0,Transient,154
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,76
Hungary,"Resort Hotel",1,2017,April,8,2,5,2,2,0,HUN,"Online TA",TA/TO,0,Transient,154
Spain,"Resort Hotel",1,2017,April,8,2,5,2,2,0,ESP,"Online TA",TA/TO,0,Transient,148
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,48
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,48
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,82
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,48
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,2,0,PRT,"Online TA",TA/TO,0,Transient,196
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,48
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,82
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,82
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,82
Spain,"Resort Hotel",1,2017,April,8,2,5,3,1,0,ESP,"Online TA",TA/TO,0,Transient,198
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,82
Spain,"Resort Hotel",1,2017,April,8,2,5,2,2,0,ESP,"Online TA",TA/TO,0,Transient,148
Germany,"Resort Hotel",1,2017,April,8,2,6,2,0,0,DEU,"Online TA",TA/TO,0,Transient,62
Germany,"Resort Hotel",1,2017,April,8,2,6,2,0,0,DEU,"Online TA",TA/TO,0,Transient,62
France,"Resort Hotel",1,2017,April,8,2,5,2,0,0,FRA,"Online TA",TA/TO,0,Transient,78
Portugal,"Resort Hotel",1,2017,April,8,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,82
Germany,"Resort Hotel",1,2017,April,8,4,6,2,0,0,DEU,"Online TA",TA/TO,0,Transient,74
Portugal,"Resort Hotel",1,2017,April,9,1,0,2,0,0,PRT,Corporate,Direct,0,Transient,100
Israel,"Resort Hotel",1,2017,April,9,1,0,2,2,0,ISR,"Online TA",TA/TO,0,Transient,125
Portugal,"Resort Hotel",1,2017,April,9,1,0,1,0,0,PRT,Corporate,Direct,0,Transient,100
Portugal,"Resort Hotel",1,2017,April,9,1,0,2,0,0,PRT,"Online TA",TA/TO,0,Transient,43
"United Kingdom","Resort Hotel",1,2017,April,9,1,0,2,0,0,GBR,Direct,Direct,0,Transient,79
Portugal,"Resort Hotel",1,2017,April,9,2,0,2,0,0,PRT,"Online TA",TA/TO,0,Transient,43
Portugal,"Resort Hotel",1,2017,April,9,2,1,2,0,0,PRT,Corporate,Direct,0,Transient,100
Portugal,"Resort Hotel",1,2017,April,9,2,1,1,0,0,PRT,Corporate,Direct,0,Transient,100
"United Kingdom","Resort Hotel",1,2017,April,9,2,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,90
"United Kingdom","Resort Hotel",1,2017,April,9,2,2,2,2,0,GBR,"Online TA",TA/TO,0,Transient,145
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,105
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Belgium,"Resort Hotel",1,2017,April,9,2,5,2,2,0,BEL,"Online TA",TA/TO,0,Transient,149
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,1,0,PRT,Groups,TA/TO,0,Transient,120
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2017,April,9,2,5,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,60
"United Kingdom","Resort Hotel",1,2017,April,9,4,5,2,0,0,GBR,"Online TA",TA/TO,0,Transient,88
"United Kingdom","Resort Hotel",1,2017,April,9,4,5,2,0,0,GBR,"Online TA",TA/TO,0,Transient,88
Germany,"Resort Hotel",1,2017,April,9,4,10,2,2,0,DEU,"Online TA",TA/TO,0,Transient,188
Portugal,"Resort Hotel",1,2017,April,10,1,0,2,0,0,PRT,"Online TA",TA/TO,0,Transient,43
Portugal,"Resort Hotel",1,2017,April,10,1,1,2,2,0,PRT,"Online TA",TA/TO,0,Transient,120
Portugal,"Resort Hotel",1,2017,April,10,1,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,71
Portugal,"Resort Hotel",1,2017,April,10,1,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,43
"United Kingdom","Resort Hotel",1,2017,April,10,1,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,75
"United Kingdom","Resort Hotel",1,2017,April,10,1,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,90
"United Kingdom","Resort Hotel",1,2017,April,10,1,3,2,0,0,GBR,"Online TA",TA/TO,0,Transient,121
Portugal,"Resort Hotel",1,2017,April,10,1,3,2,1,0,PRT,"Online TA",TA/TO,0,Transient,111
Portugal,"Resort Hotel",1,2017,April,10,1,3,2,1,0,PRT,"Online TA",TA/TO,0,Transient,184
Russia,"Resort Hotel",1,2017,April,10,1,4,2,2,0,RUS,"Online TA",TA/TO,0,Transient,127
Spain,"Resort Hotel",1,2017,April,10,1,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,79
Portugal,"Resort Hotel",1,2017,April,10,1,5,3,0,0,PRT,"Online TA",TA/TO,0,Transient,104
Spain,"Resort Hotel",1,2017,April,10,1,5,1,0,0,ESP,"Online TA",TA/TO,0,Transient,78
Russia,"Resort Hotel",1,2017,April,10,3,6,2,0,0,RUS,"Online TA",TA/TO,0,Transient,77
Spain,"Resort Hotel",1,2017,April,10,1,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,117
Spain,"Resort Hotel",1,2017,April,10,1,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,94
Portugal,"Resort Hotel",1,2017,April,11,0,1,2,0,0,PRT,Corporate,Direct,0,Transient,100
Portugal,"Resort Hotel",1,2017,April,11,0,2,2,1,0,PRT,"Online TA",TA/TO,0,Transient,136
"United Kingdom","Resort Hotel",1,2017,April,11,0,2,3,1,0,GBR,"Online TA",TA/TO,0,Transient,150
Spain,"Resort Hotel",1,2017,April,11,0,4,2,0,0,ESP,Direct,Direct,0,Transient,129
Spain,"Resort Hotel",1,2017,April,11,0,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,90
Spain,"Resort Hotel",1,2017,April,11,0,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,80
Spain,"Resort Hotel",1,2017,April,11,0,4,2,0,0,ESP,Direct,Direct,0,Transient,129
Spain,"Resort Hotel",1,2017,April,11,0,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,80
France,"Resort Hotel",1,2017,April,11,0,5,2,0,0,FRA,"Online TA",TA/TO,0,Transient,128
"United Kingdom","Resort Hotel",1,2017,April,11,2,5,2,0,0,GBR,"Online TA",TA/TO,0,Transient,105
Portugal,"Resort Hotel",1,2017,April,11,2,7,2,0,0,PRT,Direct,Direct,0,Transient,116
Portugal,"Resort Hotel",1,2017,April,11,2,7,2,0,0,PRT,Direct,Direct,0,Transient,116
Spain,"Resort Hotel",1,2017,April,12,0,1,2,0,0,ESP,"Online TA",TA/TO,0,Transient,96
"United Kingdom","Resort Hotel",1,2017,April,12,0,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,103
Spain,"Resort Hotel",1,2017,April,12,0,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,90
Spain,"Resort Hotel",1,2017,April,12,0,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,105
Spain,"Resort Hotel",1,2017,April,12,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,82
Spain,"Resort Hotel",1,2017,April,12,0,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,98
Spain,"Resort Hotel",1,2017,April,12,1,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,75
Spain,"Resort Hotel",1,2017,April,12,1,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,75
Sweden,"Resort Hotel",1,2017,April,12,1,4,2,0,0,SWE,"Online TA",TA/TO,0,Transient,108
Ireland,"Resort Hotel",1,2017,April,12,2,5,2,0,0,IRL,"Online TA",TA/TO,0,Transient,81
Netherlands,"Resort Hotel",1,2017,April,12,2,4,2,0,0,NLD,"Online TA",TA/TO,0,Transient,75
Austria,"Resort Hotel",1,2017,April,12,2,4,2,2,0,AUT,"Online TA",TA/TO,0,Transient,183
Portugal,"Resort Hotel",1,2017,April,13,0,2,1,0,0,PRT,Corporate,Corporate,0,Transient,45
Portugal,"Resort Hotel",1,2017,April,13,0,2,3,0,0,PRT,"Online TA",TA/TO,0,Transient,200
Spain,"Resort Hotel",1,2017,April,13,0,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,60
"United Kingdom","Resort Hotel",1,2017,April,13,0,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,115
Spain,"Resort Hotel",1,2017,April,13,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,132
Portugal,"Resort Hotel",1,2017,April,13,0,3,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient-Party,95
Spain,"Resort Hotel",1,2017,April,13,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,117
Spain,"Resort Hotel",1,2017,April,13,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,152
Spain,"Resort Hotel",1,2017,April,13,0,3,2,2,0,ESP,"Online TA",TA/TO,0,Transient,193
Spain,"Resort Hotel",1,2017,April,13,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,132
Spain,"Resort Hotel",1,2017,April,13,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,102
Portugal,"Resort Hotel",1,2017,April,13,0,3,2,1,0,PRT,"Online TA",TA/TO,0,Transient,102
Portugal,"Resort Hotel",1,2017,April,13,0,3,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient-Party,95
Spain,"Resort Hotel",1,2017,April,13,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,120
Spain,"Resort Hotel",1,2017,April,13,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,167
Spain,"Resort Hotel",1,2017,April,13,0,3,3,1,0,ESP,"Online TA",TA/TO,0,Transient,160
Spain,"Resort Hotel",1,2017,April,13,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,105
Spain,"Resort Hotel",1,2017,April,13,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,74
Spain,"Resort Hotel",1,2017,April,13,1,3,2,2,0,ESP,"Online TA",TA/TO,0,Transient,117
Portugal,"Resort Hotel",1,2017,April,13,1,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,162
Ireland,"Resort Hotel",1,2017,April,13,1,3,2,0,0,IRL,"Online TA",TA/TO,0,Transient,109
"United Kingdom","Resort Hotel",1,2017,April,13,1,3,2,0,0,GBR,"Online TA",TA/TO,0,Transient,115
Portugal,"Resort Hotel",1,2017,April,13,1,3,2,1,0,PRT,"Online TA",TA/TO,0,Transient-Party,112
Switzerland,"Resort Hotel",1,2017,April,13,2,3,1,0,0,CHE,"Online TA",TA/TO,0,Transient,95
Portugal,"Resort Hotel",1,2017,April,13,1,3,2,1,0,PRT,"Online TA",TA/TO,0,Transient-Party,195
"United Kingdom","Resort Hotel",1,2017,April,13,1,3,2,0,0,GBR,"Online TA",TA/TO,0,Transient,79
Switzerland,"Resort Hotel",1,2017,April,13,2,3,2,0,0,CHE,"Online TA",TA/TO,0,Transient,95
Portugal,"Resort Hotel",1,2017,April,13,2,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,94
"United Kingdom","Resort Hotel",1,2017,April,13,2,4,2,0,0,GBR,"Online TA",TA/TO,0,Transient,73
"United Kingdom","Resort Hotel",1,2017,April,13,2,5,2,0,0,GBR,"Online TA",TA/TO,0,Transient,60
"United Kingdom","Resort Hotel",1,2017,April,13,2,5,2,0,0,GBR,"Online TA",TA/TO,0,Transient,65
"United Kingdom","Resort Hotel",1,2017,April,13,2,5,2,0,0,GBR,"Online TA",TA/TO,0,Transient,65
Norway,"Resort Hotel",1,2017,April,13,2,7,2,2,0,NOR,"Online TA",TA/TO,0,Transient,130
Norway,"Resort Hotel",1,2017,April,13,2,7,2,0,0,NOR,"Online TA",TA/TO,0,Transient,68
Norway,"Resort Hotel",1,2017,April,13,2,7,2,0,0,NOR,"Online TA",TA/TO,0,Transient-Party,90
Norway,"Resort Hotel",1,2017,April,13,2,7,2,0,0,NOR,"Online TA",TA/TO,0,Transient-Party,90
Norway,"Resort Hotel",1,2017,April,13,2,7,2,2,0,NOR,"Online TA",TA/TO,0,Transient,130
Norway,"Resort Hotel",1,2017,April,13,2,7,2,0,0,NOR,"Online TA",TA/TO,0,Transient-Party,90
Portugal,"Resort Hotel",1,2017,April,14,0,1,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient-Party,80
Spain,"Resort Hotel",1,2017,April,14,0,1,2,0,0,ESP,"Online TA",TA/TO,0,Transient,117
Portugal,"Resort Hotel",1,2017,April,14,0,1,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient-Party,80
Portugal,"Resort Hotel",1,2017,April,14,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,105
Portugal,"Resort Hotel",1,2017,April,14,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,105
Portugal,"Resort Hotel",1,2017,April,14,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,105
Spain,"Resort Hotel",1,2017,April,14,1,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,77
Portugal,"Resort Hotel",1,2017,April,14,1,2,2,0,0,PRT,Direct,Direct,0,Transient-Party,77
"United Kingdom","Resort Hotel",1,2017,April,14,1,2,2,2,0,GBR,"Online TA",TA/TO,0,Transient,243
Spain,"Resort Hotel",1,2017,April,14,1,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,77
Ireland,"Resort Hotel",1,2017,April,14,1,2,2,0,0,IRL,"Online TA",TA/TO,0,Transient,107
Spain,"Resort Hotel",1,2017,April,14,1,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,77
"United Kingdom","Resort Hotel",1,2017,April,14,1,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,92
"United States","Resort Hotel",1,2017,April,14,1,2,2,0,0,USA,"Online TA",TA/TO,0,Transient,98
"United Kingdom","Resort Hotel",1,2017,April,14,1,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,77
"United Kingdom","Resort Hotel",1,2017,April,14,1,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,77
Belgium,"Resort Hotel",1,2017,April,14,1,2,2,0,0,BEL,"Online TA",TA/TO,0,Transient,92
"United Kingdom","Resort Hotel",1,2017,April,14,1,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,95
Portugal,"Resort Hotel",1,2017,April,14,1,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,77
Portugal,"Resort Hotel",1,2017,April,14,1,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,70
"United Kingdom","Resort Hotel",1,2017,April,14,2,2,2,0,0,GBR,"Online TA",TA/TO,0,Transient,88
Finland,"Resort Hotel",1,2017,April,14,2,2,2,0,0,FIN,"Online TA",TA/TO,0,Transient,91
Maldives,"Resort Hotel",1,2017,April,14,2,3,2,2,0,MDV,"Online TA",TA/TO,0,Transient,140
"United Kingdom","Resort Hotel",1,2017,April,14,2,3,2,0,0,GBR,"Online TA",TA/TO,0,Transient,100
Spain,"Resort Hotel",1,2017,April,14,2,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,70
Maldives,"Resort Hotel",1,2017,April,14,2,3,1,0,0,MDV,"Online TA",TA/TO,0,Transient,61
"United Kingdom","Resort Hotel",1,2017,April,14,2,3,2,0,0,GBR,"Online TA",TA/TO,0,Transient,93
Germany,"Resort Hotel",1,2017,April,14,2,4,2,0,0,DEU,"Online TA",TA/TO,0,Transient,95
Germany,"Resort Hotel",1,2017,April,14,2,4,2,0,0,DEU,"Online TA",TA/TO,0,Transient,89
Ireland,"Resort Hotel",1,2017,April,14,2,5,3,1,0,IRL,"Online TA",TA/TO,0,Transient,135
Germany,"Resort Hotel",1,2017,April,14,2,5,2,0,0,DEU,"Online TA",TA/TO,0,Transient,97
Ireland,"Resort Hotel",1,2017,April,14,2,5,2,0,0,IRL,"Online TA",TA/TO,0,Transient,60
Ireland,"Resort Hotel",1,2017,April,14,2,5,2,1,0,IRL,Direct,Direct,0,Transient,69
"United Kingdom","Resort Hotel",1,2017,April,14,2,5,2,0,0,GBR,"Online TA",TA/TO,0,Transient,60
Ireland,"Resort Hotel",1,2017,April,14,2,5,2,0,0,IRL,"Online TA",TA/TO,0,Transient,60
Ireland,"Resort Hotel",1,2017,April,14,2,5,2,0,0,IRL,"Online TA",TA/TO,0,Transient,60
Ireland,"Resort Hotel",1,2017,April,14,2,5,2,1,0,IRL,Direct,Direct,0,Transient,69
Ireland,"Resort Hotel",1,2017,April,14,2,7,2,0,0,IRL,"Online TA",TA/TO,0,Transient,81
Portugal,"Resort Hotel",1,2017,April,15,0,1,2,0,0,PRT,Direct,Direct,0,Transient,131
Spain,"Resort Hotel",1,2017,April,15,0,1,2,0,0,ESP,"Online TA",TA/TO,0,Transient,120
Portugal,"Resort Hotel",1,2017,April,15,1,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,103
Portugal,"Resort Hotel",1,2017,April,15,1,1,1,1,0,PRT,"Online TA",TA/TO,0,Transient,80
Germany,"Resort Hotel",1,2017,April,15,1,1,2,0,0,DEU,"Online TA",TA/TO,0,Transient,73
Portugal,"Resort Hotel",1,2017,April,15,2,1,1,0,0,PRT,"Online TA",TA/TO,0,Transient,89
Portugal,"Resort Hotel",1,2017,April,15,2,1,1,1,0,PRT,"Online TA",TA/TO,0,Transient,68
Portugal,"Resort Hotel",1,2017,April,15,2,1,2,1,0,PRT,"Online TA",TA/TO,0,Transient,82
Portugal,"Resort Hotel",1,2017,April,15,2,1,1,1,0,PRT,"Online TA",TA/TO,0,Transient,68
Portugal,"Resort Hotel",1,2017,April,15,2,2,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,63
"United Kingdom","Resort Hotel",1,2017,April,15,2,3,2,2,0,GBR,"Online TA",TA/TO,0,Transient,135
"United Kingdom","Resort Hotel",1,2017,April,15,2,3,2,0,0,GBR,"Online TA",TA/TO,0,Transient,85
Portugal,"Resort Hotel",1,2017,April,15,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,75
Portugal,"Resort Hotel",1,2017,April,15,2,5,2,1,0,PRT,"Offline TA/TO",TA/TO,0,Transient,203
France,"Resort Hotel",1,2017,April,15,2,5,2,0,0,FRA,"Online TA",TA/TO,0,Transient,57
"United Kingdom","Resort Hotel",1,2017,April,15,2,5,2,0,0,GBR,"Online TA",TA/TO,0,Transient,79
France,"Resort Hotel",1,2017,April,15,2,5,2,0,0,FRA,"Online TA",TA/TO,0,Transient,57
Hungary,"Resort Hotel",1,2017,April,15,2,5,2,0,0,HUN,"Online TA",TA/TO,0,Transient,124
Spain,"Resort Hotel",1,2017,April,16,1,0,2,0,0,ESP,"Online TA",TA/TO,0,Transient,85
Portugal,"Resort Hotel",1,2017,April,16,1,0,2,0,0,PRT,"Online TA",TA/TO,0,Transient,54
Portugal,"Resort Hotel",1,2017,April,16,2,0,3,1,0,PRT,Direct,Direct,0,Transient,181
Portugal,"Resort Hotel",1,2017,April,16,2,2,4,0,0,PRT,"Online TA",TA/TO,0,Transient,108
Ireland,"Resort Hotel",1,2017,April,16,2,3,2,0,0,IRL,"Online TA",TA/TO,0,Transient,75
Spain,"Resort Hotel",1,2017,April,16,2,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,75
France,"Resort Hotel",1,2017,April,16,2,4,3,1,0,FRA,"Online TA",TA/TO,0,Transient,183
Portugal,"Resort Hotel",1,2017,April,16,2,4,2,0,0,PRT,Direct,Direct,0,Transient,71
France,"Resort Hotel",1,2017,April,16,2,4,2,0,0,FRA,"Online TA",TA/TO,0,Transient,96
Portugal,"Resort Hotel",1,2017,April,16,2,4,3,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,84
Spain,"Resort Hotel",1,2017,April,16,2,5,2,0,0,ESP,"Online TA",TA/TO,0,Transient,60
Portugal,"Resort Hotel",1,2017,April,16,2,5,2,0,0,PRT,Groups,TA/TO,0,Transient-Party,80
